videoId,videoTitle,datePosted,duration,totalSeconds,views,likes,comments
dpgRc8PvUIo,PLAYING FORTNITE UNTIL WE WIN pt 5 ⛏️ ft. Kai Cenat (RANKED),2024-12-30T07:06:24Z,11:06:50,40010,8400478,172883,6263
GLCnbEunjSs,PLAYING FORTNITE UNTIL WE WIN pt 4 ⛏️ ft. Kai Cenat (RANKED),2024-12-29T19:43:30Z,11:14:59,40499,5871678,131644,766
tyIuYkABPfo,PLAYING FORTNITE UNTIL WE WIN pt 3⛏️ ft. Kai Cenat (RANKED),2024-12-29T08:35:24Z,11:35:18,41718,7631389,167410,1507
rgNcb8PTvgc,PLAYING FORTNITE UNTIL WE WIN pt 2⛏️ ft. Kai Cenat (RANKED),2024-12-28T20:59:07Z,11:41:35,42095,6473120,165893,792
qkrO2TkbL2A,PLAYING FORTNITE UNTIL WE WIN ⛏️ ft. Kai Cenat (RANKED),2024-12-28T09:11:00Z,11:41:40,42100,7847431,212490,1782
zlNtIRF8JVk,MERRY CHRISTMAS🎄🎅🏻 OPENING GIFTS🎀✨,2024-12-24T21:30:04Z,02:32:13,9133,2122100,79273,3018
xLMu9ExcNFI,MOVIN TO FAST,2024-12-24T01:01:12Z,05:46:18,20778,2179250,67610,1443
Dm7XL5wC7vI,ISNT IT LOVELY,2024-12-17T22:29:43Z,03:08:27,11307,1777687,58780,2102
-QbgVXly-aw,MESSI IN FORTNITE!?!?!?!? WTF (not ending until i get a win),2024-12-15T00:47:26Z,07:00:35,25235,5938696,169396,3282
_tQhvJtWw-8,OG FORTNITE WITH SPEED ⛏️ (not ending until i get a win),2024-12-07T04:45:25Z,09:26:47,34007,4320675,127582,4579
zkuaQ3kgM70,5th December❄️,2024-12-05T21:54:02Z,03:14:22,11662,1932137,65667,1680
t_npca6fskA,NEW SETUP REVEAL,2024-12-03T22:00:00Z,03:11:03,11463,2764439,104980,3020
gJQODaIaB2Y,irl stream in Australia 🇦🇺 pt 3 Gold Coast,2024-11-28T09:08:51Z,04:18:52,15532,2338042,66613,3108
sOg3dXxbUh4,irl stream in New Zealand 🇳🇿 pt 2 Auckland,2024-11-25T04:49:18Z,05:24:34,19474,2283419,64494,2680
1y3tKRekf_w,HAKA🇳🇿 #ishowspeed,2024-11-24T03:41:13Z,00:00:49,49,2316853,157175,4496
eFz30QfDvwg,irl stream in New Zealand 🇳🇿,2024-11-24T03:27:05Z,04:14:04,15244,2432465,70306,3373
YPabvqBLo8w,irl stream in Australia 🇦🇺 pt 2,2024-11-22T05:02:57Z,04:03:00,14580,2040069,68083,2461
C8Gqmu4p49s,irl stream in Australia 🇦🇺,2024-11-21T03:22:38Z,04:05:40,14740,2712495,97809,3762
DvaPazAX7lw,NOT ENDING UNTIL I LAND A DOUBLE BACKFLIP....,2024-11-13T21:13:18Z,05:09:08,18548,3843278,127894,1674
1O5GVUU7qvI,YOU ARE MY FRIEND,2024-11-12T21:21:58Z,03:24:03,12243,2087036,65172,1431
4mxjWDRw3lU,11/11 MAKE A WISH,2024-11-11T22:52:42Z,04:39:54,16794,2370098,77993,1404
DtRK1sRNBq8,I Raced The Fastest Man Alive🏃🏾💨,2024-11-07T04:28:53Z,00:00:23,23,6952067,483716,8837
HZXefjyU-eM,SPEED vs NOAH LYLES 🏃🏾💨 (FASTEST MAN ALIVE),2024-11-07T00:59:17Z,00:39:20,2360,2844655,99741,6445
gK7ujITLzao,33 million......,2024-11-06T19:05:36Z,00:51:20,3080,1487865,70861,2354
UBY_0r-Gwiw,Speed x Paul Pogba🇫🇷,2024-11-05T19:54:50Z,00:00:20,20,12131779,843479,6418
yNOmR0Fq3RM,SPEED X PAUL POGBA 🇫🇷,2024-11-05T17:28:13Z,03:02:04,10924,6054987,269457,4007
uCQDC4rkA5k,WHAT DO U WANNA DO🤨,2024-11-04T01:05:41Z,05:33:48,20028,3072170,87814,2355
wFwYaEzlmQQ,NOVEMBER🍁santai🍁Ch.2,2024-11-02T21:23:36Z,04:01:25,14485,2265357,79308,1964
k-VgUvmBH8E,irl trick or treat + haunted house stream👀🎃🧌,2024-11-01T02:01:24Z,02:24:27,8667,2312873,80957,2560
c70s8ux50lQ,"irl HAUNTED HOUSE ft. MrBeast, xQc, Logan Paul, Fanum & Lexi Rivera🎃👻💀",2024-10-31T01:55:47Z,02:02:21,7341,5723196,209052,8807
WHgJX12AhTQ,irl Ballon d’Or stream 🏆 2024,2024-10-28T22:29:46Z,03:22:26,12146,12756906,367725,2863
wk1WLOa6jBA,BEATING FEARS TO FATHOM ☠️ ALL EPISODES,2024-10-13T23:09:14Z,05:05:25,18325,2499862,77933,3353
bPihACF7MIs,my legs hurt 😞,2024-10-12T21:42:45Z,03:58:37,14317,2658507,81488,1902
mRSF3lDKSWo,Attempting the MOST BACKFLIPS in 24 HOURS Pt. 2 (WORLD RECORD),2024-10-09T08:55:04Z,07:09:47,25787,4443418,107792,3855
Er2qHguUr_0,Attempting the MOST BACKFLIPS in 24 HOURS (WORLD RECORD),2024-10-09T02:00:57Z,11:27:38,41258,6899615,203479,879
mFsCe7AIxq8,sick of it,2024-10-07T20:41:25Z,02:54:13,10453,2504425,90029,2840
NQ6LAuWLsmM,BEATING OUTLAST 2 (HORROR GAME) ☠️🕷️,2024-10-03T19:26:55Z,06:05:54,21954,2942374,98803,2162
O4SLIxC3s8I,BEATING OUTLAST  (HORROR GAME) ☠️🕷️🕸️👻,2024-10-02T20:10:48Z,03:54:14,14054,3609716,98477,2233
Qq2CpCNGiZA,RETURN... OF SPEEEEEED 💀🎃,2024-10-01T19:54:53Z,03:37:23,13043,3295953,124240,3067
g5Xj6GFuHzA,irl stream in Philippines pt 3 🇵🇭 Cebu City,2024-09-25T11:13:04Z,01:09:57,4197,4675924,132398,13372
oZxOzl441qQ,irl stream in Singapore 🇸🇬 32 million……..,2024-09-24T12:14:29Z,04:38:20,16700,6878819,185576,7773
bh4Y6M4KJoY,irl stream in Cambodia pt 2 🇰🇭 Phnom Penh,2024-09-23T11:13:11Z,03:01:35,10895,5410148,188463,6658
8FzcNN3ZvB0,irl stream in Indonesia pt 3 🇮🇩 Yogyakarta,2024-09-21T12:12:15Z,02:14:21,8061,11429838,456768,33085
BF9qBZhlgsY,irl stream in Indonesia pt 2 🇮🇩 Bali,2024-09-20T10:01:18Z,03:59:44,14384,15105159,621423,19845
fbTph-qZTHM,CRAZY IN INDONESIA 🇮🇩 #ishowspeed,2024-09-19T11:33:15Z,00:00:59,59,7895086,476621,14436
9s6imDGjy08,irl stream in Indonesia 🇮🇩,2024-09-18T13:41:37Z,03:47:48,13668,25873647,1189156,51845
Ws9hCaDuUWQ,irl stream in Malaysia 🇲🇾,2024-09-17T13:36:12Z,04:55:08,17708,10355429,292951,21122
yyNDJuMCxDc,irl stream in Cambodia 🇰🇭 30 million.......,2024-09-16T15:41:25Z,00:50:52,3052,4502817,227683,9498
VTorUJcMYGg,irl stream in Vietnam 🇻🇳,2024-09-14T13:17:21Z,03:36:21,12981,7529146,274400,14819
_xbSg_KRa-E,spar with manny pacquiao 🥊🇵🇭 #ishowspeed,2024-09-12T14:39:16Z,00:00:28,28,3777551,240870,4250
F4DvCG9Nhlk,irl stream in Philippines pt 2 🇵🇭 ft. Manny Pacquiao,2024-09-12T14:14:24Z,03:14:37,11677,8695857,276358,12804
qWuJYrEZBkw,irl stream in Philippines 🇵🇭,2024-09-11T11:45:46Z,03:24:53,12293,8511914,306016,23806
8Z-5l40luGc,irl stream in Thailand pt 2 🇹🇭 Pattaya City,2024-09-10T14:38:16Z,05:30:11,19811,6657397,243599,5954
oaRc-P3Na-w,irl stream in Thailand 🇹🇭,2024-09-09T12:24:19Z,04:09:11,14951,6404319,250670,8508
1bsq3F2ztSs,FRESH + NEW 100k ROBOT!,2024-09-02T21:00:32Z,03:12:46,11566,2878034,103611,3079
mlkf3D_cd20,RONALDO ABOUT TO PASS ME IN SUBS!,2024-08-23T02:42:12Z,00:25:54,1554,4280097,252871,16002
zTlp-6YZ7ck,omg he’s passing me 💔 please sub up,2024-08-23T02:15:47Z,00:00:19,19,13752598,843291,17438
ObC3wVRB26Q,BEATING MINECRAFT HARDCORE PART 10 ⛏️🍄 ft. Kai Cenat,2024-08-22T09:51:52Z,07:40:03,27603,5961093,179674,8076
ZIOcuNXfN5o,BEATING MINECRAFT HARDCORE PART 9 ⛏️🍄 ft. Kai Cenat,2024-08-22T02:47:01Z,11:41:18,42078,7235741,187805,1411
WkZM7aRRmZU,BEATING MINECRAFT HARDCORE PART 8⛏️🍄 ft. Kai Cenat,2024-08-21T16:10:40Z,11:09:03,40143,4295481,98345,604
-U6f8X_eaXc,BEATING MINECRAFT HARDCORE PART 7 ⛏️🍄 ft. Kai Cenat,2024-08-21T03:47:01Z,11:23:09,40989,6281665,144511,1046
tA7mHytQEYU,BEATING MINECRAFT HARDCORE PART 6⛏️🍄 ft. Kai Cenat,2024-08-20T15:54:38Z,08:49:32,31772,3377292,85690,577
xESR8jnAicw,BEATING MINECRAFT HARDCORE PART 5 ⛏️🍄 ft. Kai Cenat (28 million….),2024-08-20T07:25:49Z,10:39:05,38345,5668369,136143,975
S8nGD6tbAio,BEATING MINECRAFT HARDCORE PART 4⛏️🍄 ft. Kai Cenat,2024-08-19T21:55:13Z,10:05:04,36304,5171834,132642,1329
OoNndQzHMlI,BEATING MINECRAFT HARDCORE PART 3 ⛏️🍄 ft. Kai Cenat,2024-08-19T10:05:40Z,11:22:39,40959,5154531,135165,1223
VsarYwQyoss,BEATING MINECRAFT HARDCORE PART 2 ⛏️🍄 ft. Kai Cenat,2024-08-18T22:43:54Z,10:57:35,39455,5568001,155269,1051
